Term,Layer,Score
GO:0007281,Layer1,1.929305096
GO:0007411,Layer1,1.742004852
GO:0007080,Layer1,1.436914881
GO:0007283,Layer1,1.328164752
GO:0048010,Layer2,4.133846368
GO:0032722,Layer2,2.639987278
GO:0032481,Layer2,2.563442482
GO:0048013,Layer2,2.363633699
GO:0030516,Layer2,2.054051519
GO:0031113,Layer2,1.835271269
GO:0046777,Layer2,1.827062817
GO:0032755,Layer2,1.79116536
GO:1900034,Layer3,4.625354086
GO:0042177,Layer3,4.135412283
GO:0050679,Layer3,3.750617338
GO:0019217,Layer3,3.414212295
GO:0016358,Layer3,3.287784296
GO:1903531,Layer3,3.045483458
GO:0006511,Layer3,3.007213926
GO:0007584,Layer3,2.967489544
GO:0019751,Layer3,2.905792758
GO:0046651,Layer3,2.874866545
GO:0014068,Layer3,2.839350297
GO:0007169,Layer3,2.828432018
GO:0090263,Layer3,2.71886729
GO:0010977,Layer3,2.679776102
GO:0000018,Layer4,5.772654378
GO:0051493,Layer4,5.468816029
GO:0002703,Layer4,5.076379526
GO:0032870,Layer4,4.856864857
GO:2000736,Layer4,4.837286406
GO:0055001,Layer4,4.717124285
GO:0071396,Layer4,4.662052665
GO:0060348,Layer4,4.314693314
GO:0008284,Layer4,4.277741875
GO:0071216,Layer4,4.254323633
GO:0007517,Layer4,4.231235113
GO:0001568,Layer4,4.1282227
GO:0007088,Layer4,4.118102436
GO:0043604,Layer4,3.972799158
GO:0140056,Layer4,3.929127378
GO:0051053,Layer4,3.865769509
GO:0006644,Layer4,3.82261149
GO:0090257,Layer4,3.750968802
GO:0002684,Layer5,6.639114021
GO:0042127,Layer5,5.209424743
GO:0031647,Layer5,5.173660028
GO:0061024,Layer5,5.021876641
GO:1903320,Layer5,4.528751979
GO:0009967,Layer5,4.474315638
GO:0051606,Layer5,4.009272622
GO:0033043,Layer5,3.875096828
GO:0005975,Layer5,3.468573668
GO:0072359,Layer5,2.625135571
GO:0051052,Layer5,2.484720832
GO:0035556,Layer5,2.413603481
GO:0007423,Layer5,2.312447547
